Kc1,Kc2,P1,P2,dist,run,start_freq,ln_eco_evo,ln_evo_eco,Kc1_ms,Kc2_ms,P1_ms,P2_ms,trait_dist,Kc1_f
2,4.305050505,0.8,0.569494949,63,63,0.7,NA,2.761486932,0,0.384175084,1,0.615824916,2.316547088,2
2,4.245454545,0.8,0.575454545,64,64,0.7,NA,2.742265675,0,0.374242424,1,0.625757576,2.256653889,2
2,4.185858586,0.8,0.581414141,65,65,0.7,NA,2.717853162,0,0.364309764,1,0.635690236,2.196760691,2
2,4.126262626,0.8,0.587373737,66,66,0.7,NA,2.700517812,0,0.354377104,1,0.645622896,2.136867493,2
2,4.066666667,0.8,0.593333333,67,67,0.7,NA,2.65749094,0,0.344444444,1,0.655555556,2.076974295,2
2,4.007070707,0.8,0.599292929,68,68,0.7,NA,2.597268752,0,0.334511785,1,0.665488215,2.017081097,2
2,3.947474747,0.8,0.605252525,69,69,0.7,NA,2.47615375,0,0.324579125,1,0.675420875,1.957187899,2
2,3.887878788,0.8,0.611212121,70,70,0.7,NA,2.459997113,0,0.314646465,1,0.685353535,1.897294701,2
2,3.828282828,0.8,0.617171717,71,71,0.7,NA,2.363669846,0,0.304713805,1,0.695286195,1.837401502,2
2,3.768686869,0.8,0.623131313,72,72,0.7,NA,2.303169078,0,0.294781145,1,0.705218855,1.777508304,2
2,3.709090909,0.8,0.629090909,73,73,0.7,NA,2.244361194,0,0.284848485,1,0.715151515,1.717615106,2
2,3.649494949,0.8,0.635050505,74,74,0.7,NA,2.187096527,0,0.274915825,1,0.725084175,1.657721908,2
2,3.58989899,0.8,0.641010101,75,75,0.7,NA,2.131480127,0,0.264983165,1,0.735016835,1.59782871,2
2,3.53030303,0.8,0.646969697,76,76,0.7,NA,2.079216677,0,0.255050505,1,0.744949495,1.537935512,2
2,3.470707071,0.8,0.652929293,77,77,0.7,NA,2.044615471,0,0.245117845,1,0.754882155,1.478042314,2
2,3.411111111,0.8,0.658888889,78,78,0.7,NA,1.959788351,0,0.235185185,1,0.764814815,1.418149115,2
2,3.351515152,0.8,0.664848485,79,79,0.7,NA,1.895935302,0,0.225252525,1,0.774747475,1.358255917,2
2,3.291919192,0.8,0.670808081,80,80,0.7,NA,1.838860789,0,0.215319865,1,0.784680135,1.298362719,2
2,3.232323232,0.8,0.676767677,81,81,0.7,NA,1.789662043,0,0.205387205,1,0.794612795,1.238469521,2
2,3.172727273,0.8,0.682727273,82,82,0.7,NA,1.720961553,0,0.195454545,1,0.804545455,1.178576323,2
2,3.113131313,0.8,0.688686869,83,83,0.7,NA,1.652382756,0,0.185521886,1,0.814478114,1.118683125,2
2,3.053535354,0.8,0.694646465,84,84,0.7,NA,1.550907356,0,0.175589226,1,0.824410774,1.058789927,2
2,2.993939394,0.8,0.700606061,85,85,0.7,NA,1.461625501,0,0.165656566,1,0.834343434,0.998896728,2
2,2.934343434,0.8,0.706565657,86,86,0.7,NA,1.377853967,0,0.155723906,1,0.844276094,0.93900353,2
2,2.874747475,0.8,0.712525253,87,87,0.7,NA,1.29770439,0,0.145791246,1,0.854208754,0.879110332,2
2,2.815151515,0.8,0.718484848,88,88,0.7,NA,1.228137448,0,0.135858586,1,0.864141414,0.819217134,2
2,2.755555556,0.8,0.724444444,89,89,0.7,NA,1.130752319,0,0.125925926,1,0.874074074,0.759323936,2
2,2.695959596,0.8,0.73040404,90,90,0.7,NA,1.03617843,0,0.115993266,1,0.884006734,0.699430738,2
2,2.636363636,0.8,0.736363636,91,91,0.7,NA,0.946516205,0,0.106060606,1,0.893939394,0.63953754,2
2,2.576767677,0.8,0.742323232,92,92,0.7,NA,0.862411535,0,0.096127946,1,0.903872054,0.579644341,2
2,2.517171717,0.8,0.748282828,93,93,0.7,NA,0.79935514,0,0.086195286,1,0.913804714,0.519751143,2
2,2.457575758,0.8,0.754242424,94,94,0.7,NA,0.793942495,0,0.076262626,1,0.923737374,0.459857945,2
2,2.397979798,0.8,0.76020202,95,95,0.7,NA,0.597292126,0,0.066329966,1,0.933670034,0.399964747,2
2,2.338383838,0.8,0.766161616,96,96,0.7,NA,0.366391602,0,0.056397306,1,0.943602694,0.340071549,2
2,2.278787879,0.8,0.772121212,97,97,0.7,NA,0.121697463,0,0.046464646,1,0.953535354,0.280178351,2
2,2.219191919,0.8,0.778080808,98,98,0.7,NA,-0.154089192,0,0.036531987,1,0.963468013,0.220285153,2
2,2.15959596,0.8,0.784040404,99,99,0.7,NA,-0.566797436,0,0.026599327,1,0.973400673,0.160391954,2
2,2.1,0.8,0.79,100,100,0.7,NA,-1.116160442,0,0.016666667,1,0.983333333,0.100498756,2
2,8,0.8,0.2,1,1,0.8,NA,3.608173381,0,1,1,0,6.029925373,2
2,7.94040404,0.8,0.205959596,2,2,0.8,NA,3.570119512,0,0.99006734,1,0.00993266,5.970032175,2
2,7.880808081,0.8,0.211919192,3,3,0.8,NA,3.556319042,0,0.98013468,1,0.01986532,5.910138976,2
